"College
Code",College Name,"Branch
code",Branch Name,OC,BC,BCM,MBC_DNC,SC,SCA,ST
5,ANNAMALAI UNIVERSITY - FACULTY OF ENGINEERING AND TECHNOLOGY,AM,"Computer Science and Engineering (AI and Machine
Learning)",100.33,,,,,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",CE,Civil Engineering,,112.67,,,,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",CS,"Computer Science and
Engineering",112.67,,,,121.33,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",CZ,"Civil and Structural
Engineering",124,,,,,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",EC,"Electronics and
Communication Engineering",,,,147,,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",EE,"Electrical and Electronics
Engineering",123,115,,119,123,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",EI,"Electronics and
Instrumentation Engineering",110.33,,,,,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",ME,Mechanical Engineering,134,127.67,,125.33,127,,
5,"ANNAMALAI UNIVERSITY - FACULTY OF
ENGINEERING AND TECHNOLOGY",MM,"Mechanical
Engineering(Manufacturing)",139.33,112,,,119.67,,
1106,JAYA ENGINEERING COLLEGE,AE,Aeronautical Engineering,124.33,,,,,,
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH  Road, Thiruvallur
District 631204",EC,Electronics and Communication Engineering,118.83,,,,,,
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH  Road, Thiruvallur
District 631204",ME,Mechanical Engineering,,,,,121.5,,
1113,R.M.K. ENGINEERING COLLEGE,CE,Civil Engineering,128.67,,,,,,
1113,R.M.K. ENGINEERING COLLEGE,ME,Mechanical Engineering,137.67,,,,,,
1115,SRIRAM ENGINEERING COLLEGE,AU,Automobile Engineering,127.33,,,,,,
1115,SRIRAM ENGINEERING COLLEGE,CH,Chemical Engineering,,123,,,,,
1115,SRIRAM ENGINEERING COLLEGE,EE,"Electrical and Electronics
Engineering",158,123.33,,,,,
1116,"SRI VENKATESWARA COLLEGE OF
ENGINEERING AND TECHNOLOGY",CE,Civil Engineering,119,116,,,,,
1116,"SRI VENKATESWARA COLLEGE OF
ENGINEERING AND TECHNOLOGY",EC,"Electronics and
Communication Engineering",119,,,,,,
1116,"SRI VENKATESWARA COLLEGE OF
ENGINEERING AND TECHNOLOGY",ME,Mechanical Engineering,133,122.67,,129,,,
1118,"VEL TECH MULTI TECH DR.RANGARAJAN
DR.SAKUNTHALA ENGINEERING COLLEGE",EE,"Electrical and Electronics
Engineering",119,,,,,,
1120,VELAMMAL ENGINEERING COLLEGE,AU,Automobile Engineering,,,,130,,,
1120,VELAMMAL ENGINEERING COLLEGE,CS,"Computer Science and
Engineering",144,,,,,,
1120,VELAMMAL ENGINEERING COLLEGE,ME,Mechanical Engineering,175.67,,,154.67,134.33,,
1121,"SRI VENKATESWARA INSTITUTE OF SCIENCE
AND TECHNOLOGY",ME,Mechanical Engineering,118.33,123.67,,,,,
1123,"GOJAN SCHOOL OF BUSINESS AND
TECHNOLOGY",CS,"Computer Science and
Engineering",132,,,,,,
1127,"St. PETER'S COLLEGE OF ENGINEERING AND
TECHNOLOGY",AE,Aeronautical Engineering,,,,,124.67,,
1127,"St. PETER'S COLLEGE OF ENGINEERING AND
TECHNOLOGY",CE,Civil Engineering,125.33,,,,,,
1127,"St. PETER'S COLLEGE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,127,,,,,,
1131,VEL TECH,ME,Mechanical Engineering,124.33,,,,,,
1133,"ANNAI VEILANKANNI'S COLLEGE OF
ENGINEERING",ME,Mechanical Engineering,,,,,143.67,,
1149,St. JOSEPH'S INSTITUTE OF TECHNOLOGY,ME,Mechanical Engineering,142,,,,,,
1202,D M I COLLEGE OF ENGINEERING,EE,"Electrical and Electronics
Engineering",134.33,,,,,,
1207,KINGS ENGINEERING COLLEGE,BM,Bio- Medical Engineering,124.67,,,,,,
1207,KINGS ENGINEERING COLLEGE,CS,"Computer Science and
Engineering",134.67,124.67,,128.33,,,
1207,KINGS ENGINEERING COLLEGE,EC,"Electronics and
Communication Engineering",,165.67,,,,,
1207,KINGS ENGINEERING COLLEGE,ME,Mechanical Engineering,,,,,130.33,,
1207,KINGS ENGINEERING COLLEGE,RM,Robotics and Automation,142.33,,,,,,
1210,PANIMALAR ENGINEERING COLLEGE,IT,Information Technology,120.33,,,,,,
1210,PANIMALAR ENGINEERING COLLEGE,ME,Mechanical Engineering,128.33,122,,,,,
1212,RAJIV GANDHI COLLEGE OF ENGINEERING,AU,Automobile Engineering,135.67,,,,,,
1219,"SRI VENKATESWARA COLLEGE OF
ENGINEERING (AUTONOMOUS)",EC,"Electronics and
Communication Engineering",153.33,,,,,,
1219,"SRI VENKATESWARA COLLEGE OF
ENGINEERING (AUTONOMOUS)",ME,Mechanical Engineering,149,128,,,,,
1225,LOYOLA INSTITUTE OF TECHNOLOGY,CS,"Computer Science and
Engineering",120.67,,,,,,
1225,LOYOLA INSTITUTE OF TECHNOLOGY,EC,"Electronics and
Communication Engineering",,,,,116.33,,
1225,LOYOLA INSTITUTE OF TECHNOLOGY,ME,Mechanical Engineering,132.67,132,,125,,,
1226,"P.T. LEE CHENGALVARAYA NAICKER COLLEGE
OF ENGINEERING AND TECHNOLOGY",CS,"Computer Science and
Engineering",132,114.67,,,,,
1226,"P.T. LEE CHENGALVARAYA NAICKER COLLEGE
OF ENGINEERING AND TECHNOLOGY",EC,"Electronics and
Communication Engineering",,,,,116.33,,
1226,"P.T. LEE CHENGALVARAYA NAICKER COLLEGE
OF ENGINEERING AND TECHNOLOGY",ME,Mechanical Engineering,138.67,,,,,,
1230,APOLLO ENGINEERING COLLEGE,ME,Mechanical Engineering,107.33,,,,,,
1232,"ARM COLLEGE OF ENGINEERING AND
TECHNOLOGY",EE,"Electrical and Electronics
Engineering",118.5,,,,,,
1238,"GRT INSTITUTE OF ENGINEERING AND
TECHNOLOGY",ME,Mechanical Engineering,118,,,,,,
1304,EASWARI ENGINEERING COLLEGE,CS,"Computer Science and
Engineering",168.67,,,,,,
1307,JERUSALEM COLLEGE OF ENGINEERING,CE,Civil Engineering,120,,,,,,
1309,"MEENAKSHI SUNDARARAJAN ENGINEERING
COLLEGE",EC,"Electronics and
Communication Engineering",123.33,,,,,,
1309,"MEENAKSHI SUNDARARAJAN ENGINEERING
COLLEGE",ME,Mechanical Engineering,120.67,,,,,,
1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF
ENGINEERING (AUTONOMOUS)",EC,"Electronics and
Communication Engineering",142,,,,,,
1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF
ENGINEERING (AUTONOMOUS)",EE,"Electrical and Electronics
Engineering",121.33,,,,,,
1315,"SRI SIVASUBRAMANIYA NADAR COLLEGE OF
ENGINEERING (AUTONOMOUS)",ME,Mechanical Engineering,166,135,,,,,
1316,AGNI COLLEGE OF TECHNOLOGY,EE,"Electrical and Electronics
Engineering",122.33,,,,,,
1317,St.JOSEPH'S COLLEGE OF ENGINEERING,ME,Mechanical Engineering,167,,,,,,
1320,JEPPIAAR SRR ENGINEERING COLLEGE,IT,Information Technology,121.33,,,,,,
1322,"DHANALAKSHMI SRINIVASAN COLLEGE OF
ENGINEERING AND TECHNOLOGY",ME,Mechanical Engineering,111.67,,,,,,
1325,St. JOSEPH COLLEGE OF ENGINEERING,CE,Civil Engineering,117.33,,,,,,
