COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1107,"Jaya Institute of Technology, Kanchipadi Post,
Thiruvallur-Tiruttani NH  Road, Thiruvallur District 631204",EE,Electrical and Electronics Engineering,,148.7,,,,,
1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur District 602025",EE,Electrical and Electronics Engineering,150.5,,,,,,
1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",IT,Information Technology,,121.5,,,,,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",ME,Mechanical Engineering,142.5,,,,,,
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",ME,Mechanical Engineering,120,,,,105,,
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",EC,Electronics and Communication Engineering,131,,,,,,
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",AD,Artificial Intelligence and Data Science,,,,133.5,,,
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",CS,Computer Science and Engineering,160.5,,,,,,
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",ME,Mechanical Engineering,147,,,,,,
1122,"Vel Tech High Tech Dr. Rangarajan Dr.
Sakunthala Engineering College, Avadi-Alamathi Road, Chennai 600 062",CS,Computer Science and Engineering,125.5,,,,,,
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi
Road, Chennai 600 062",EC,Electronics and Communication Engineering,135.5,,,,,,
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi
Road, Chennai 600 062",IT,Information Technology,,134.5,,,,,
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi
Road, Chennai 600 062",ME,Mechanical Engineering,,,,,120,,
1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",ME,Mechanical Engineering,126.5,,,,,,
1128,"R M K College of Engineering and Technology, Puduvoyal, Gummidipoondi Taluk, Thiruvallur
District 601206",AD,Artificial Intelligence and Data Science,,144,,,,,
1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048",ME,Mechanical Engineering,100.5,,,,,,
