COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",CE,CIVIL  ENGINEERING,,143.90,,,,,,,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",CS,COMPUTER SCIENCE AND ENGINEERING,145.69,,,,,,,,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District
601206",ME,MECHANICAL ENGINEERING,172.74,,,,,,,,
1114,"S A Engineering College
(Autonomous), Thiruverkadu, Chennai 600077",ME,MECHANICAL ENGINEERING,144.23,,,,,,,,
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",ME,MECHANICAL ENGINEERING,136.85,,,,,,,,
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road,
Chennai 600 062",CS,COMPUTER SCIENCE AND ENGINEERING,165.83,,,,,,,,
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills
Road, Chennai 600066",IT,INFORMATION TECHNOLOGY,156.61,,,,,,,,
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road,
Chennai 600066",ME,MECHANICAL ENGINEERING,160.67,146.10,,,,,,,
1126,"J N N Institute of Engineering, Ushaa Garden, Kannigaipair Village, Uthukottai Taluk, Thiruvallur District
601102",CS,COMPUTER SCIENCE AND ENGINEERING,139.74,,,,,,,,
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",CS,COMPUTER SCIENCE AND ENGINEERING,92.50,,,,,,,,
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",ME,MECHANICAL ENGINEERING,153.07,,,,,,,,
1207,"Kings Engineering College,
Sriperumpudur Taluk, Kancheepuram District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,,,,,,,159.78,,
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram
District 602105",IT,INFORMATION TECHNOLOGY,139.70,,,,,,,,
1210,"Panimalar Engineering College (Autonomous), Nazarethpet,
Poonamallee, Chennai 602103",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,149.13,,,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,,,,170.34,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",ME,MECHANICAL ENGINEERING,152.76,,,,,,,,
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk,
Kancheepuram District 602105",BM,BIO MEDICAL ENGINEERING,138.90,,,,,,,,
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk,
Kancheepuram District 602105",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",,153.93,,,,,,,
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk,
Kancheepuram District 602105",ME,MECHANICAL ENGINEERING,,,,164.01,,,,,
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk,
Kancheepuram District 602105",PE,PETROLEUM ENGINEERING,153.87,,,,,,,,
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",CH,CHEMICAL  ENGINEERING,,,,,,,158.70,,
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,142.95,,,,,,,
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",ME,MECHANICAL ENGINEERING,163.51,,,149.46,,,,,
1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai
600069",ME,MECHANICAL ENGINEERING,149.90,,,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai- Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram
District 602117",CS,COMPUTER SCIENCE AND ENGINEERING,176.62,175.00,,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai- Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram
District 602117",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,147.62,,,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai- Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram
District 602117",IT,INFORMATION TECHNOLOGY,161.80,,,,,,,,
