"COLLEGE
CODE",COLLEGE NAME,BRANCH,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CE,CIVIL  ENGINEERING,168.5,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),,199,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,200,,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,188,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,183.5,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",EM,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",,,,194,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",GI,GEO INFORMATICS,,,,139.5,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),195.5,168,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",ME,MECHANICAL ENGINEERING,193,190,,,,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",MI,MINING ENGINEERING,,,,,143.5,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",PT,PRINTING AND PACKING TECHNOLOGY,,,,,112,,
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy,
Chennai 600 025",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,,,,,140.5,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CH,CHEMICAL  ENGINEERING,128.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CL,CHEMICAL  ENGINEERING (SS),138.5,,,,,,
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy,
Chennai 600 025",CR,CERAMIC TECHNOLOGY (SS),,194.5,,,,,
