COLLEGE NAME,BRANCH NAME,MAX CUTOFF
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous)  Kalavakkam  Old Mahabalipuram Road (OMR)  Chengalpattu
District 603110",COMPUTER SCIENCE AND ENGINEERING,199.0
"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",MECHANICAL ENGINEERING,197.5
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006",COMPUTER SCIENCE AND ENGINEERING,195.5
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","COMPUTER SCIENCE AND
ENGINEERING (SS)",195.0
"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING (SS),193.5
PSG College of Technology (Autonomous) Peelamedu  Coimbatore District 641004,"ELECTRONICS AND
COMMUNICATION ENGINEERING",193.0
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004","INFORMATION TECHNOLOGY
(SS)",192.0
"Coimbatore Institute of Technology
(Autonomous)  Civil Aerodrome Post Coimbatore District 641014",COMPUTER SCIENCE AND ENGINEERING,191.5
"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025","ELECTRONICS AND COMMUNICATION
ENGINEERING",191.5
"Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post
Coimbatore District 641014",ELECTRICAL AND ELECTRONICS ENGINEERING,191.0
"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",CIVIL ENGINEERING (TAMIL MEDIUM),190.5
"Kumaraguru College of Technology (Autonomous)  Chinnavedampatti Post
Coimbatore District 641006",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,190.0
"Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post
Coimbatore District 641014",MECHANICAL ENGINEERING,189.0
"Sri Krishna College of Enginering and
Technology (Autonomous)   Kuniamuthur Coimbatore District 641008","ELECTRONICS AND
COMMUNICATION ENGINEERING",187.5
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),187.5
"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING,187.5
"Government College of Technology (Autonomous)  Thadagam Road  Coimbatore
District 641013","ELECTRONICS AND COMMUNICATION
ENGINEERING",186.5
"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",INFORMATION TECHNOLOGY (SS),185.0
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",ELECTRONICS AND COMMUNICATION ENGINEERING,185.0
Unnamalai Institute of Technology  Ayyaneri Kovilpatti  Thoothukudi District 628502,COMPUTER SCIENCE AND ENGINEERING,184.5
"University Departments of Anna University Chennai - MIT Campus  Chrompet Tambaram Taluk  Chengalpattu District 600
044",COMPUTER SCIENCE AND ENGINEERING,184.0
"PSG College of Technology (Autonomous)
Peelamedu  Coimbatore District 641004",TEXTILE TECHNOLOGY,183.0
"PSG Institute of Technology and Applied Research  Avinashi Road  Neelambur
Coimbatore 641062",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,181.5
