COLLEGE CODE,COLLEGE NAME,BRANCH CODE,BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1,University Departments of Anna University Chennai - CEG Campus,BY,BIO MEDICAL ENGINEERING (SS),,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,CE,CIVIL ENGINEERING,,,,151.5,,,
1,University Departments of Anna University Chennai - CEG Campus,CM,COMPUTER SCIENCE AND ENGINEERING (SS),193.5,185.5,,183.5,,,
1,University Departments of Anna University Chennai - CEG Campus,CS,COMPUTER SCIENCE AND ENGINEERING,,187.5,,,,,
1,University Departments of Anna University Chennai - CEG Campus,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,191.5,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),,,,,151.5,,
1,University Departments of Anna University Chennai - CEG Campus,GI,GEO INFORMATICS,172.0,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,IE,INDUSTRIAL ENGINEERING,,,,,137.0,,
1,University Departments of Anna University Chennai - CEG Campus,IM,INFORMATION TECHNOLOGY (SS),185.0,,,164.5,,,
1,University Departments of Anna University Chennai - CEG Campus,MA,MATERIAL SCIENCE AND ENGINEERING (SS),,,144.0,,,,
1,University Departments of Anna University Chennai - CEG Campus,ME,MECHANICAL ENGINEERING,197.5,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,MI,MINING ENGINEERING,157.5,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,MN,MANUFACTURING ENGINEERING,171.5,,,,,,
1,University Departments of Anna University Chennai - CEG Campus,XC,CIVIL ENGINEERING (TAMIL MEDIUM),,190.5,,,,,
1,University Departments of Anna University Chennai - CEG Campus,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,180.0,,,,,
1013,"University College of Engineering, Villupuram",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,140.0,,,,,
1013,"University College of Engineering, Villupuram",IT,INFORMATION TECHNOLOGY,,,124.5,,,,
1013,"University College of Engineering, Villupuram",ME,MECHANICAL ENGINEERING,,,,,148.5,,
1013,"University College of Engineering, Villupuram",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),118.5,,,,,,
1014,University College of Engineering Tindivanam,IT,INFORMATION TECHNOLOGY,137.5,,,,,,
1015,"University College of Engineering, Arni",CS,COMPUTER SCIENCE AND ENGINEERING,132.0,,,,,,
1015,"University College of Engineering, Arni",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,146.5,,,,,
1015,"University College of Engineering, Arni",ME,MECHANICAL ENGINEERING,,,,,131.5,,
1015,"University College of Engineering, Arni",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,,,133.0,,,
1026,University College of Engineering Kancheepuram,CS,COMPUTER SCIENCE AND ENGINEERING,136.0,,,,,,
1026,University College of Engineering Kancheepuram,ME,MECHANICAL ENGINEERING,,,,131.0,,,
1110,Prathyusha Engineering College,BT,BIO TECHNOLOGY,,,,,130.0,,
1110,Prathyusha Engineering College,CS,COMPUTER SCIENCE AND ENGINEERING,139.5,,,,,,
1112,R M D Engineering College,CS,COMPUTER SCIENCE AND ENGINEERING,146.5,,,,,,
1113,R M K Engineering College,CS,COMPUTER SCIENCE AND ENGINEERING,,,,,155.0,,
1114,S A Engineering College,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,,,132.5,,,
1114,S A Engineering College,CS,COMPUTER SCIENCE AND ENGINEERING,,154.5,,,,,
1116,Sri Venkateswara College of Engineering and Technology,CS,COMPUTER SCIENCE AND ENGINEERING,,129.5,,,,,
1118,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,ME,MECHANICAL ENGINEERING,,,,,144.5,,
