COLLEGE CODE,COLLEGE NAME,BRANCH CODE,RANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",BY,BIO MEDICAL ENGINEERING (SS),,161,,,,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",CE,CIVIL  ENGINEERING,,,,151.5,,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),193.5,185.5,,183.5,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,,187.5,,,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",191.5,,,,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",EM,"ELECTRONICS AND COMMUNICATION
ENGINEERING (SS)",,,,,151.5,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",GI,GEO INFORMATICS,172,,,,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",IE,INDUSTRIAL ENGINEERING,,,,,137,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),185,,,164.5,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",MA,MATERIAL SCIENCE AND ENGINEERING (SS),,,144,,,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",ME,MECHANICAL ENGINEERING,197.5,,,,,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",MI,MINING ENGINEERING,157.5,,,,,,
1,"University Departments of Anna University
Chennai - CEG Campus  Sardar Patel Road Guindy  Chennai 600 025",MN,MANUFACTURING ENGINEERING,171.5,,,,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",XC,CIVIL ENGINEERING (TAMIL MEDIUM),,190.5,,,,,
1,"University Departments of Anna University Chennai - CEG Campus  Sardar Patel Road
Guindy  Chennai 600 025",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,180,,,,,
1013,University College of Engineering  Villupuram Kakuppam  Villupuram District 605103,EC,"ELECTRONICS AND COMMUNICATION
ENGINEERING",,140,,,,,
1013,University College of Engineering  Villupuram Kakuppam  Villupuram District 605103,IT,INFORMATION TECHNOLOGY,,,124.5,,,,
1013,University College of Engineering  Villupuram Kakuppam  Villupuram District 605103,ME,MECHANICAL ENGINEERING,,,,,148.5,,
1013,University College of Engineering  Villupuram Kakuppam  Villupuram District 605103,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),118.5,,,,,,
1014,"University College of Engineering Tindivanam  Melpakkam  Tindivanam
Villupuram District 604001",IT,INFORMATION TECHNOLOGY,137.5,,,,,,
1015,"University College of Engineering  Arni  Arni
to Devikapuram Road  Thatchur  Arni Thiruvannamalai District 632326",CS,COMPUTER SCIENCE AND ENGINEERING,132,,,,,,
1015,"University College of Engineering  Arni  Arni
to Devikapuram Road  Thatchur  Arni Thiruvannamalai District 632326",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",,146.5,,,,,
1015,"University College of Engineering  Arni  Arni
to Devikapuram Road  Thatchur  Arni Thiruvannamalai District 632326",ME,MECHANICAL ENGINEERING,,,,,131.5,,
1015,"University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni
Thiruvannamalai District 632326",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),,,,133,,,
1026,"University College of Engineering Kancheepuram  Ponnerikarai Campus  NH4 Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District
631552",CS,COMPUTER SCIENCE AND ENGINEERING,136,,,,,,
1026,"University College of Engineering Kancheepuram  Ponnerikarai Campus  NH4 Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District
631552",ME,MECHANICAL ENGINEERING,,,,131,,,
1110,"Prathyusha Engineering college
(Autonomous)  Aranvoyalkuppam Thiruvallur District 602025",BT,BIO TECHNOLOGY,,,,,130,,
1110,"Prathyusha Engineering college (Autonomous)  Aranvoyalkuppam
Thiruvallur District 602025",CS,COMPUTER SCIENCE AND ENGINEERING,139.5,,,,,,
1112,"R M D Engineering College (Autonomous) Kavaraipettai  Gummidipoondi  Thiruvallur
District 601206",CS,COMPUTER SCIENCE AND ENGINEERING,146.5,,,,,,
1113,"R M K Engineering College (Autonomous)
Kavaraipettai  Gummidipoondi  Thiruvallur District 601206",CS,COMPUTER SCIENCE AND ENGINEERING,,,,155,,,
1114,"S A Engineering College (Autonomous)
Thiruverkadu  Chennai 600077",AD,"ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",,,,132.5,,,
1114,"S A Engineering College (Autonomous)
Thiruverkadu  Chennai 600077",CS,"COMPUTER SCIENCE AND
ENGINEERING",,154.5,,,,,
1116,"Sri Venkateswara College of Engineering and Technology  Thirupachur  Thiruvallur District
631203",CS,COMPUTER SCIENCE AND ENGINEERING,,129.5,,,,,
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road
Chennai 600 062",ME,MECHANICAL ENGINEERING,,,,,144.5,,
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous)  Avadi-Alamathi Road
Chennai 600 062",CS,COMPUTER SCIENCE AND ENGINEERING,,129,,,,,
1123,"Gojan School of Business and Technology
Alamathi  Chennai 600062",MU,"MECHANICAL AND
AUTOMATION ENGINEERING",,135.5,,,,,
1125,"PMR Engineering College Adayalampattu
Chennai-600095",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",,131,,,,,
1128,R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,CS,COMPUTER SCIENCE AND ENGINEERING,,160,,,,,
1128,R M K College of Engineering and Technology (Autonomous)  Puduvoyal  Gummidipoondi Taluk  Thiruvallur District 601206,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,121,,,,,
1133,"Annai Veilankannis College of Engineering
Gandhi Road  Nedungundram  Chennai 600048",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",115.5,,,,,,
1137,Annai Mira College of Engineering and Technology  Arcot Road  Arappakkam Village Walaja Taulk  Ranipet District 632 517,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,149.5,,,,,
1149,"St. Joseph's Institute of Technology (Autonomous)  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai
600119",CS,COMPUTER SCIENCE AND ENGINEERING,152.5,,,,,,
1149,"St. Joseph's Institute of Technology (Autonomous)  Jeppiaar Nagar  Old Mahabalipuram Road (OMR)  Chennai
600119",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,144,,,,,
1202,"D M I College of Engineering  Palanchoor
Nazrethpet  Chennai 602103",EE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",,,,122.5,,,
1207,"Kings Engineering College  Sriperumpudur
Taluk  Kancheepuram District 602105",CS,"COMPUTER SCIENCE AND
ENGINEERING",145.5,,,,,,
1210,Panimalar Engineering College (Autonomous) Nazarethpet  Poonamallee  Chennai 602123,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,126.5,,,,,,
1210,Panimalar Engineering College (Autonomous) Nazarethpet  Poonamallee  Chennai 602123,CS,COMPUTER SCIENCE AND ENGINEERING,118,,,,,,
1210,Panimalar Engineering College (Autonomous) Nazarethpet  Poonamallee  Chennai 602123,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,146,,,
1210,Panimalar Engineering College (Autonomous) Nazarethpet  Poonamallee  Chennai 602123,IT,INFORMATION TECHNOLOGY,118,,,,,,
1210,Panimalar Engineering College (Autonomous) Nazarethpet  Poonamallee  Chennai 602123,ME,MECHANICAL ENGINEERING,,,,139,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,AL,Artificial Intelligence and Machine Learning,130,,,,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,BT,BIO TECHNOLOGY,,,,122.5,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,CS,COMPUTER SCIENCE AND ENGINEERING,,160,,,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,129.5,,,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,IT,INFORMATION TECHNOLOGY,150.5,,,140,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,ME,MECHANICAL ENGINEERING,,,118,,,,
1211,Rajalakshmi Engineering College (Autonomous)  Thandalam  Sriperumpudur Taluk  Kancheepuram District 602105,SC,Computer Science and Engineering (Cyber Security),130,,,,,,
1212,"Rajiv Gandhi College of Engineering  Nemili
Sriperumpudur Taluk  Kancheepuram District 602105",EC,"ELECTRONICS AND
COMMUNICATION ENGINEERING",110.5,,,,,,
1212,"Rajiv Gandhi College of Engineering  Nemili
Sriperumpudur Taluk  Kancheepuram District 602105",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,85,,
1216,Saveetha Engineering College (Autonomous) Thandalam  Sriperumpudur Taluk Kancheepuram District 602105,ME,MECHANICAL ENGINEERING,150.5,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous)  Post Bag No.1  Chennai- Bengaluru High Road  Pennalur Irungattukottai S.O.  Sriperumbudur Taluk
Kancheepuram District 602105",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous)  Post Bag No.1  Chennai- Bengaluru High Road  Pennalur Irungattukottai S.O.  Sriperumbudur Taluk
Kancheepuram District 602105",ME,MECHANICAL ENGINEERING,138,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous)  Post Bag No.1  Chennai- Bengaluru High Road  Pennalur Irungattukottai S.O.  Sriperumbudur Taluk
Kancheepuram District 602105",MU,MECHANICAL AND AUTOMATION ENGINEERING,,115,,,,,
1221,Jaya College of Engineering and Technology Parivakkam  Poonamallee  Chennai 600056,ME,MECHANICAL ENGINEERING,,121,,,,,
1222,"P B College of Engineering  Irungkattukottai Sriperumpudur Taluk  Kancheepuram District
602117",AU,AUTOMOBILE ENGINEERING,,113,,,,,
1222,"P B College of Engineering  Irungkattukottai
Sriperumpudur Taluk  Kancheepuram District 602117",CS,COMPUTER SCIENCE AND ENGINEERING,,121,,,,,
1225,"Loyola Institute of Technology
Mevaloorkuppam  B Village  Palanchoor Nazarethpet Post  Chennai 600123",CS,COMPUTER SCIENCE AND ENGINEERING,118.5,,,,,,
1226,P T Lee Chengalvaraya Naicker College of Engineering and Technology  Oovery  Veliyur Post  Kancheepuram District 631 502,CS,COMPUTER SCIENCE AND ENGINEERING,143.5,,,,,,
1226,P T Lee Chengalvaraya Naicker College of Engineering and Technology  Oovery  Veliyur Post  Kancheepuram District 631 502,IT,INFORMATION TECHNOLOGY,,127.5,,,,,
1226,P T Lee Chengalvaraya Naicker College of Engineering and Technology  Oovery  Veliyur Post  Kancheepuram District 631 502,ME,MECHANICAL ENGINEERING,,144,,,,,
1230,"Apollo Engineering College Mevaloorkuppam  Valarpuram Post Sriperumpudur  Kancheepuram District
602105",CS,COMPUTER SCIENCE AND ENGINEERING,118.5,,,,,,
1237,"Velammal Institute of Technology  Chennai-
Kolkatta Highway  Panchetti Village  Ponneri Taluk  Thiruvallur District 601204",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,172.5,,,,,,
1238,"G R T Institute of Engineering and Technology  GRT Mahalakshmi Nagar Chennai-Tirupathi Highway  Tiruttani Taluk
Thiruvallur District 631209",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,110.5,,,
1241,"T J S Engineering College  Peruvoyal  Near Kavaraipettai  Gummidipoondi Taluk
Thiruvallur District 601206",CS,COMPUTER SCIENCE AND ENGINEERING,164.5,,,,,,
1243,"Madha Institute of Engineering and Technology  Erandamkattalai Village Sadhananthapuram  Thandalam Post
Chennai  602101",ME,MECHANICAL ENGINEERING,,136,,,,,
1304,Easwari Engineering College (Autonomous) Ramapuram  Chennai 600089,CE,CIVIL  ENGINEERING,,158,,,,,
1304,Easwari Engineering College (Autonomous) Ramapuram  Chennai 600089,IT,INFORMATION TECHNOLOGY,,164,,,,,
