College Name,Branch Name,Branch code,OC,BC,BCM,MBC_DNC,SC,SCA,ST
Anna University CEG Campus,Computer Science and Engineering,CS,190.72,184.95,177.77,176.17,170.74,167.89,161.85
Anna University CEG Campus,Information Technology,IT,189.13,180.65,178.55,173.58,163.75,160.59,156.84
Anna University CEG Campus,Electronics and Communication Engineering,ECE,166.47,164.08,157.53,152.55,145.57,146.12,137.33
Anna University CEG Campus,Electrical and Electronics Engineering,EEE,178.29,175.75,171.01,166.53,162.19,155.34,150.42
Anna University CEG Campus,Mechanical Engineering,MECH,165.94,161.67,160.4,155.88,146.37,146.73,137.89
Anna University MIT Campus,Computer Science and Engineering,CS,182.32,175.02,175.08,168.61,166.84,159.84,153.06
Anna University MIT Campus,Information Technology,IT,173.18,169.77,160.77,159.82,151.25,149.27,145.33
Anna University MIT Campus,Electronics and Communication Engineering,ECE,174.44,169.71,165.82,157.96,151.8,146.65,145.52
Anna University MIT Campus,Electrical and Electronics Engineering,EEE,175.01,172.06,163.28,159.07,155.73,151.04,145.77
Anna University MIT Campus,Mechanical Engineering,MECH,190.02,183.85,177.23,172.47,166.56,154.26,155.81
Anna University ACT Campus,Computer Science and Engineering,CS,181.21,179.54,174.55,170.74,163.2,159.95,155.34
Anna University ACT Campus,Information Technology,IT,179.97,174.14,167.48,168.74,162.04,157.28,153.67
Anna University ACT Campus,Electronics and Communication Engineering,ECE,171.89,169.87,159.88,159.17,149.18,154.22,141.27
Anna University ACT Campus,Electrical and Electronics Engineering,EEE,183.77,172.96,173.68,167.53,160.35,157.85,154.86
Anna University ACT Campus,Mechanical Engineering,MECH,168.64,164.45,159.14,153.69,148.45,148.04,138.03
Government College of Engineering - Coimbatore,Computer Science and Engineering,CS,178.13,172.09,168.82,168.07,158.31,155.9,152.05
Government College of Engineering - Coimbatore,Information Technology,IT,182.04,175.13,170.66,166.3,157.97,152.12,150.91
Government College of Engineering - Coimbatore,Electronics and Communication Engineering,ECE,173.3,171.02,157.76,157.13,153.57,150.09,140.63
Government College of Engineering - Coimbatore,Electrical and Electronics Engineering,EEE,189.73,184.26,180.19,173.44,169.65,163.76,160.05
Government College of Engineering - Coimbatore,Mechanical Engineering,MECH,175.22,171.93,162.27,162.35,156.34,148.79,148.45
Government College of Engineering - Salem,Computer Science and Engineering,CS,163.62,160.56,151.42,148.57,141.47,138.52,133.01
Government College of Engineering - Salem,Information Technology,IT,167.5,160.82,153.56,149.65,145.4,138.53,134.25
Government College of Engineering - Salem,Electronics and Communication Engineering,ECE,177.76,176.32,168.95,165.65,157.84,155.58,147.8
Government College of Engineering - Salem,Electrical and Electronics Engineering,EEE,188.8,180.96,178.87,174.11,167.97,166.82,154.38
Government College of Engineering - Salem,Mechanical Engineering,MECH,159.66,156.53,149.52,143.57,139.09,133.92,130.56
